methodA,methodB,isGolden,originalName,answerValue,answerer,wasDiscarded,modelProbability,answeredAt,sourceWinner,workerType,preferenceStrength,confidence,comparisonId,promptId,source,category,subjectStudy,highestLevelDegree
gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-cdccd42baceb4358888fda8c23a7fb32,A,normal:mystifying_fermi,,,2024-05-22 12:38:48.027304,A-is-clearly-better,normal,clearly,absolutely-confident,cdccd42baceb4358888fda8c23a7fb32,000494cd98ae43f58b0d57732a37e66a,lmsys/sharegpt-vicuna,Open QA,Physics,Mathematics and statistics
gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-cdccd42baceb4358888fda8c23a7fb32,A,normal:unruffled_hoover,,,2024-05-27 22:08:43.798062,A-is-clearly-better,normal,clearly,absolutely-confident,cdccd42baceb4358888fda8c23a7fb32,000494cd98ae43f58b0d57732a37e66a,lmsys/sharegpt-vicuna,Open QA,Physics,Mathematics and statistics
allenai/tulu-2-7b,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-aa8af1e5ea024ad08e71273f5695993b,B,normal:romantic_liskov,,,2024-05-11 19:01:51.681618,B-is-slightly-better,normal,slightly,fairly-confident,aa8af1e5ea024ad08e71273f5695993b,000616d1471540e4935f6c60ecc06aeb,anthropic/helpful-base,Brainstorm,Leisure,Arts & Humanities
allenai/tulu-2-7b,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-aa8af1e5ea024ad08e71273f5695993b,draw,normal:determined_elion,,,2024-05-27 21:52:10.183030,Tie,normal,tie,fairly-confident,aa8af1e5ea024ad08e71273f5695993b,000616d1471540e4935f6c60ecc06aeb,anthropic/helpful-base,Brainstorm,Leisure,Arts & Humanities
allenai/tulu-2-70b,gpt-4-turbo-2024-04-09,False,multipref-6b9671fb535b447e898a24771d136306,B,normal:practical_agnesi,,,2024-05-07 16:01:08.329575,B-is-clearly-better,normal,clearly,absolutely-confident,6b9671fb535b447e898a24771d136306,000616d1471540e4935f6c60ecc06aeb,anthropic/helpful-base,Brainstorm,Leisure,Arts & Humanities
allenai/tulu-2-70b,gpt-4-turbo-2024-04-09,False,multipref-6b9671fb535b447e898a24771d136306,B,normal:elastic_swanson,,,2024-05-07 16:11:52.724645,B-is-clearly-better,normal,clearly,absolutely-confident,6b9671fb535b447e898a24771d136306,000616d1471540e4935f6c60ecc06aeb,anthropic/helpful-base,Brainstorm,Leisure,Arts & Humanities
allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,False,multipref-924dbf961d664b1c8634a0d831f0c8d4,B,normal:suspicious_saha,,,2024-05-14 00:20:39.776310,B-is-clearly-better,normal,clearly,absolutely-confident,924dbf961d664b1c8634a0d831f0c8d4,00117e5830704b6a8d448a6400e3cf8e,lmsys/sharegpt-vicuna,Open QA,Travel and Tourism,Journalism & Information Business
allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,False,multipref-924dbf961d664b1c8634a0d831f0c8d4,B,normal:pedantic_kowalevski,,,2024-05-14 00:28:06.972551,B-is-clearly-better,normal,clearly,absolutely-confident,924dbf961d664b1c8634a0d831f0c8d4,00117e5830704b6a8d448a6400e3cf8e,lmsys/sharegpt-vicuna,Open QA,Travel and Tourism,Journalism & Information Business
allenai/tulu-2-7b,allenai/tulu-2-70b,False,multipref-fb0315fba0f1484994e2a9b3e7e1d4cb,A,normal:unruffled_hoover,,,2024-05-13 02:04:33.056971,A-is-clearly-better,normal,clearly,absolutely-confident,fb0315fba0f1484994e2a9b3e7e1d4cb,00117e5830704b6a8d448a6400e3cf8e,lmsys/sharegpt-vicuna,Open QA,Travel and Tourism,Journalism & Information Business
allenai/tulu-2-7b,allenai/tulu-2-70b,False,multipref-fb0315fba0f1484994e2a9b3e7e1d4cb,B,normal:vigorous_lovelace,,,2024-05-26 21:19:01.594217,B-is-clearly-better,normal,clearly,absolutely-confident,fb0315fba0f1484994e2a9b3e7e1d4cb,00117e5830704b6a8d448a6400e3cf8e,lmsys/sharegpt-vicuna,Open QA,Travel and Tourism,Journalism & Information Business
allenai/tulu-2-70b,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-29d10501c65a4f149eb1059f131891c5,A,normal:youthful_spence,,,2024-05-13 03:10:09.416220,A-is-slightly-better,normal,slightly,fairly-confident,29d10501c65a4f149eb1059f131891c5,002c495da91c44d2af6768c4dd513387,lmsys/sharegpt-vicuna,Generation,English Literature,Arts & Humanities
allenai/tulu-2-70b,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-29d10501c65a4f149eb1059f131891c5,draw,normal:ecstatic_jones,,,2024-05-13 03:16:50.833699,Tie,normal,tie,absolutely-confident,29d10501c65a4f149eb1059f131891c5,002c495da91c44d2af6768c4dd513387,lmsys/sharegpt-vicuna,Generation,English Literature,Arts & Humanities
allenai/tulu-2-7b,allenai/tulu-2-70b,False,multipref-9317c77ab5da4c14b5b10b42b02887e9,draw,normal:romantic_liskov,,,2024-05-21 20:22:41.949584,Tie,normal,tie,fairly-confident,9317c77ab5da4c14b5b10b42b02887e9,002c495da91c44d2af6768c4dd513387,lmsys/sharegpt-vicuna,Generation,English Literature,Arts & Humanities
allenai/tulu-2-7b,allenai/tulu-2-70b,False,multipref-9317c77ab5da4c14b5b10b42b02887e9,draw,normal:nervous_hypatia,,,2024-05-21 20:25:55.191402,Tie,normal,tie,absolutely-confident,9317c77ab5da4c14b5b10b42b02887e9,002c495da91c44d2af6768c4dd513387,lmsys/sharegpt-vicuna,Generation,English Literature,Arts & Humanities
gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,False,multipref-f687e05f7832446d8e20ad77405d9b37,draw,normal:kind_ardinghelli,,,2024-05-08 23:05:50.411116,Tie,normal,tie,absolutely-confident,f687e05f7832446d8e20ad77405d9b37,003effee7ba64f6faba7afdc5c91a2ee,lmsys/chatbot_arena_conversations,Open QA,Leisure,Arts & Humanities
gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,False,multipref-f687e05f7832446d8e20ad77405d9b37,A,normal:brave_hoover,,,2024-05-08 23:14:15.587608,A-is-clearly-better,normal,clearly,absolutely-confident,f687e05f7832446d8e20ad77405d9b37,003effee7ba64f6faba7afdc5c91a2ee,lmsys/chatbot_arena_conversations,Open QA,Leisure,Arts & Humanities
allenai/tulu-2-7b,allenai/tulu-2-70b,False,multipref-a4d192a37fb940c79b044650945cc380,B,normal:xenodochial_payne,,,2024-05-14 23:21:58.203883,B-is-slightly-better,normal,slightly,absolutely-confident,a4d192a37fb940c79b044650945cc380,004418f37f1845bea2fa2884ef201504,lmsys/sharegpt-vicuna,Coding,Mathematics,Mathematics and statistics
allenai/tulu-2-7b,allenai/tulu-2-70b,False,multipref-a4d192a37fb940c79b044650945cc380,B,normal:quirky_fermi,,,2024-05-24 19:15:20.095653,B-is-slightly-better,normal,slightly,absolutely-confident,a4d192a37fb940c79b044650945cc380,004418f37f1845bea2fa2884ef201504,lmsys/sharegpt-vicuna,Coding,Mathematics,Mathematics and statistics
