methodA,methodB,isGolden,originalName,answerValue,answerer,wasDiscarded,modelProbability,answeredAt,sourceWinner
api-gpt-4o-mini-search,api-gpt-4o-search,False,search-arena-0,draw,ab373ba670eade9a357b075a9625272238821caa415ee6012607bf98839bba76,,,2025-03-18 17:28:58.245,tie
ppl-sonar-pro,api-gpt-4o-search,False,search-arena-1,B,7c0a01dbf51923a007e1bed9db6755fd0b728b888d2e050df98570da8269798f,,,2025-03-18 17:29:01.444,model_b
ppl-sonar-reasoning,ppl-sonar-pro,False,search-arena-2,B,60c987c27eed1512988bec39497011f3a35e4bb1a008649781cbf72befa9abe8,,,2025-03-18 17:29:57.137,model_b
ppl-sonar-reasoning,ppl-sonar-pro,False,search-arena-3,A,3162b94e8c57965281b33f7d8597cc04119dfea2e4bd61978f233d4abdd410c8,,,2025-03-18 17:30:02.763,model_a
api-gpt-4o-mini-search,api-gpt-4o-search,False,search-arena-4,B,a3b79e6ff635348d8a05a7a8aaca2ba71f96f67f48a83264ce09260c29a76131,,,2025-03-18 17:30:02.917,model_b
ppl-sonar-pro,api-gpt-4o-search,False,search-arena-5,draw,f331b6d376ba7be6601c711a2c260771928046d112b74a4847f12e49ba7f046b,,,2025-03-18 17:30:16.376,tie (bothbad)
api-gpt-4o-mini-search,ppl-sonar,False,search-arena-6,B,6daa2bcd697b075a81521cfe4af10705e94f8db3d06a949c9b265098594aff35,,,2025-03-18 17:30:16.606,model_b
ppl-sonar,api-gpt-4o-search,False,search-arena-7,A,22e07350737f96c731d01325f19bf8127da994d54c4587b243c85f05b2f5fed8,,,2025-03-18 17:30:19.668,model_a
api-gpt-4o-search,api-gpt-4o-mini-search,False,search-arena-8,draw,68838ad7a0ca3c66555577fba4aa49d9db124733e4bdea71bd317b23355eb4d2,,,2025-03-18 17:30:34.621,tie
api-gpt-4o-search,api-gpt-4o-mini-search,False,search-arena-9,draw,ab373ba670eade9a357b075a9625272238821caa415ee6012607bf98839bba76,,,2025-03-18 17:31:06.494,tie
ppl-sonar-pro,ppl-sonar-reasoning,False,search-arena-10,B,3162b94e8c57965281b33f7d8597cc04119dfea2e4bd61978f233d4abdd410c8,,,2025-03-18 17:31:08.553,model_b
ppl-sonar,api-gpt-4o-search,False,search-arena-11,B,6fe9ab44201576a72e6f728b1f9f781dd97ca4e6f053b5f088eea0888d6ebe7d,,,2025-03-18 17:31:33.359,model_b
ppl-sonar,api-gpt-4o-search,False,search-arena-12,A,331cbfd4bac8975c2f615266d62ae5664a830bdfc5b3bd5827e3ff78f6e2c19e,,,2025-03-18 17:31:36.464,model_a
ppl-sonar-reasoning,ppl-sonar-pro,False,search-arena-13,draw,ab373ba670eade9a357b075a9625272238821caa415ee6012607bf98839bba76,,,2025-03-18 17:32:09.288,tie
api-gpt-4o-mini-search,api-gpt-4o-search,False,search-arena-14,A,f331b6d376ba7be6601c711a2c260771928046d112b74a4847f12e49ba7f046b,,,2025-03-18 17:32:09.777,model_a
ppl-sonar-reasoning,api-gpt-4o-mini-search,False,search-arena-15,draw,ab373ba670eade9a357b075a9625272238821caa415ee6012607bf98839bba76,,,2025-03-18 17:32:36.617,tie
api-gpt-4o-search,ppl-sonar,False,search-arena-16,B,60c987c27eed1512988bec39497011f3a35e4bb1a008649781cbf72befa9abe8,,,2025-03-18 17:32:37.346,model_b
